title,link,description,price
EcoMax - EF-32199-B-2,https://www.energystar.gov/productfinder/product/certified-residential-refrigerators/details-plus/2361378,Compact Refrigerator,
MicroChill - MCH4G16,https://www.energystar.gov/productfinder/product/certified-residential-refrigerators/details-plus/2271692,Compact Refrigerator,
SMEG Spa - CVxxx38xxxx,https://www.energystar.gov/productfinder/product/certified-residential-refrigerators/details-plus/2384170,Compact Cooler,
LG - LRTNC0705*,https://www.energystar.gov/productfinder/product/certified-residential-refrigerators/details-plus/2394097,Compact Refrigerator,$649.00
DOMETIC - C40G2,https://www.energystar.gov/productfinder/product/certified-residential-refrigerators/details-plus/2400454,Compact Refrigerator,
DOMETIC - C40G1,https://www.energystar.gov/productfinder/product/certified-residential-refrigerators/details-plus/2400456,Compact Refrigerator,
DCS - RF24RE3,https://www.energystar.gov/productfinder/product/certified-residential-refrigerators/details-plus/2235165,Compact Refrigerator,
LG - LKIM08121*,https://www.energystar.gov/productfinder/product/certified-residential-refrigerators/details-plus/2305176,Compact Refrigerator,
Marvel - MA24RA1S***,https://www.energystar.gov/productfinder/product/certified-residential-refrigerators/details-plus/2220314,Compact Refrigerator,
Goldstar - GKIM08121*,https://www.energystar.gov/productfinder/product/certified-residential-refrigerators/details-plus/2305177,Compact Refrigerator,
DCS - RF24LE3,https://www.energystar.gov/productfinder/product/certified-residential-refrigerators/details-plus/2235166,Compact Refrigerator,
DOMETIC - C60G1,https://www.energystar.gov/productfinder/product/certified-residential-refrigerators/details-plus/2408484,Compact Refrigerator,
DOMETIC - C60G2,https://www.energystar.gov/productfinder/product/certified-residential-refrigerators/details-plus/2408108,Compact Refrigerator,
Liebherr - HWgb 1803,https://www.energystar.gov/productfinder/product/certified-residential-refrigerators/details-plus/2385533,Compact Cooler,
Miele - KFN 4799 DDE edt/cs,https://www.energystar.gov/productfinder/product/certified-residential-refrigerators/details-plus/2406368,Bottom Freezer,
Liebherr - C5740IM,https://www.energystar.gov/productfinder/product/certified-residential-refrigerators/details-plus/2406367,Bottom Freezer,
SMEG Spa - CVIU138,https://www.energystar.gov/productfinder/product/certified-residential-refrigerators/details-plus/2409721,Compact Cooler,
